,jet0_LeadingRechitD,jet0_E,jet0_Pt,jet0_Eta,jet0_Phi,jet0_Mass,jet0_Area,jet0_ChargedHadEFrac,jet0_NeutralHadEFrac,jet0_PhoEFrac,jet0_EleEFrac,jet0_MuonEFrac,jet0_PtAllTracks,jet0_PtAllPVTracks,jet0_isTruthMatched,jet0_isMatchedTo,jet0_MatchedLLP_DecayR,jet0_OtherLLP_DecayR,jet0_MatchedLLP_Eta,jet0_S_phiphi,jet0_S_etaeta,jet0_S_etaphi,jet0_Tracks_dR,jet0_Track0Pt,jet0_Track0dR,jet0_Track0dEta,jet0_Track0dPhi,jet0_Track0dzToPV,jet0_Track0dxyToBS,jet0_Track0dzOverErr,jet0_Track0dxyOverErr,jet0_Track1Pt,jet0_Track1dR,jet0_Track1dEta,jet0_Track1dPhi,jet0_Track1dzToPV,jet0_Track1dxyToBS,jet0_Track1dzOverErr,jet0_Track1dxyOverErr,jet0_Track2Pt,jet0_Track2dR,jet0_Track2dEta,jet0_Track2dPhi,jet0_Track2dzToPV,jet0_Track2dxyToBS,jet0_Track2dzOverErr,jet0_Track2dxyOverErr,jet0_EnergyFrac_Depth1,jet0_EnergyFrac_Depth2,jet0_EnergyFrac_Depth3,jet0_EnergyFrac_Depth4,jet0_LeadingRechitE,jet0_SubLeadingRechitE,jet0_SSubLeadingRechitE,jet0_AllRechitE,classID
Mean,2.97678130571938,120.83494567871094,93.82471466064453,-0.0019415769493207335,0.04228004813194275,11.06962776184082,0.5040573477745056,0.16085268557071686,0.7460116744041443,0.07481160759925842,0.008847181685268879,0.009476774372160435,-1.0,-1.0,0.834172248840332,-1657.84521484375,-1469.73486328125,-1311.657958984375,-1658.25927734375,0.01208898238837719,0.01084462832659483,0.007221256848424673,0.2955884039402008,8.524298667907715,0.22373777627944946,9.639648487791419e-05,0.0002141297736670822,0.01902182586491108,-0.007626495324075222,1.8163411617279053,-0.6341827511787415,4.145869731903076,0.23132286965847015,0.00028160473448224366,-0.00039589765947312117,0.012279825285077095,-0.010927264578640461,1.3704233169555664,-0.2845276892185211,2.27260160446167,0.32141685485839844,0.17481772601604462,0.17470842599868774,-3500.0517578125,-3500.060791015625,-3499.728759765625,-3500.252197265625,0.13342803716659546,0.23409932851791382,0.24638214707374573,0.3860904574394226,37.8514404296875,16.191150665283203,9.060192108154297,100.97671508789062,0.16582773282128652
Standard Deviation,0.951092332504335,83.02440643310547,61.59361267089844,0.7301674485206604,1.8280482292175293,6.545788288116455,0.025834055617451668,0.22251403331756592,0.3118849992752075,0.11172465234994888,0.0725744292140007,0.06636501848697662,0.0,0.0,0.3719262480735779,3719.41064453125,3803.39013671875,3920.9814453125,3719.22607421875,0.009275599382817745,0.0077058784663677216,0.004735366441309452,0.18405987322330475,23.695314407348633,0.11767543852329254,0.1787019520998001,0.17880654335021973,6.493774890899658,1.109871745109558,976.9600830078125,110.13871002197266,7.249351501464844,0.11346099525690079,0.18234993517398834,0.18202219903469086,5.705362796783447,1.2132679224014282,821.269775390625,63.81892013549805,4.264762878417969,0.160269096493721,0.27877911925315857,0.27873867750167847,4769.68115234375,4769.67236328125,4810.94775390625,4769.78076171875,0.1445826143026352,0.23643848299980164,0.2227536141872406,0.3459022641181946,38.43846130371094,14.76361083984375,7.848971843719482,68.83763885498047,0.37192624672907665
