,0
perJet_Frac_Track0Pt,0.3724226241998494
perJet_ChargedHadEFrac,0.35750468605711205
perJet_Frac_Track1Pt,0.28156099984421523
perJet_Frac_Track2Pt,0.2743724511837682
perJet_Track0dR,0.2687085264316611
perJet_NeutralHadEFrac,0.25532311674290575
perJet_Track1dR,0.18766631015813573
perJet_Tracks_dR,0.18617830325580664
perJet_Track0dEta,0.17911838609712571
perJet_Track2dR,0.17730514593657798
perJet_Track0dPhi,0.1771765251163906
perJet_EnergyFrac_Depth4,0.16726598254536906
perJet_PhoEFrac,0.1511437583400994
perJet_Track2dPhi,0.14149201880427142
perJet_Track2dEta,0.13598771623628636
perJet_Track1dPhi,0.1326203327141009
perJet_Track1dEta,0.1241443553745798
perJet_EleEFrac,0.09076404357950252
perJet_AllRechitE,0.0903955723179779
perJet_S_etaeta,0.07422746509611322
perJet_S_etaphi,0.07311933527498571
perJet_S_phiphi,0.058926420628097276
perJet_Frac_SubLeadingRechitE,0.05723440773234234
perJet_Frac_SSubLeadingRechitE,0.05594021199366672
perJet_Mass,0.05486081631154516
perJet_EnergyFrac_Depth3,0.04842644581439437
perJet_Frac_LeadingRechitE,0.047977998121731424
perJet_EnergyFrac_Depth2,0.03940055906213402
perJet_EnergyFrac_Depth1,0.03845638785659489
perJet_Eta,0.015220957524806344
perJet_LeadingRechitD,0.011643793345943898
perJet_MuonEFrac,0.010901264593873972
