,0
perJet_NeutralHadEFrac,0.4655047929623688
perJet_ChargedHadEFrac,0.36866512651601013
perJet_Track0Pt,0.3574438052003073
perJet_Track1Pt,0.3373443225891286
perJet_Track0dR,0.29795862204625134
perJet_Tracks_dR,0.2590924786156745
perJet_Track2Pt,0.25777958363409503
perJet_Track1dR,0.22639060962418345
perJet_LeadingRechitE,0.22372358567491446
perJet_EnergyFrac_Depth4,0.20836796591005147
perJet_Track0dPhi,0.2063948928816055
perJet_Track0dEta,0.2056110145050294
perJet_EnergyFrac_Depth1,0.19616911479989696
perJet_Track0dxyToBS,0.18267577762222276
perJet_LeadingRechitD,0.18089218298477983
perJet_AllRechitE,0.1637186783335558
perJet_Track1dEta,0.16313390277231843
perJet_Track1dxyToBS,0.16058289627303823
perJet_Track1dPhi,0.15897907126558142
perJet_EnergyFrac_Depth2,0.1540745455780037
perJet_Track0dxyOverErr,0.14760438871635628
perJet_Track2dR,0.14731323568523091
perJet_SubLeadingRechitE,0.14270797368913435
perJet_Track0dzToPV,0.13819487391802898
perJet_Track1dxyOverErr,0.13411987462878727
perJet_S_phiphi,0.13368660047227188
perJet_Track0dzOverErr,0.13255059287899051
perJet_Track1dzOverErr,0.12936744036518277
perJet_Track1dzToPV,0.129233753610432
perJet_S_etaphi,0.11025477409800644
perJet_Track2dEta,0.10337331315617782
perJet_Track2dPhi,0.10267325130223615
perJet_SSubLeadingRechitE,0.09106100236755665
perJet_EnergyFrac_Depth3,0.08743566148850057
perJet_E,0.06957577728410058
perJet_Pt,0.06355964334034425
perJet_Mass,0.05706823607077105
perJet_S_etaeta,0.05675336461563241
perJet_Eta,0.008889677926985584
perJet_Phi,0.001221865877424122
